Sample_ID,Batch_Code,Cement_Type,Cure_Time_Days,Diameter_mm,Height_mm,Weight_kg,Max_Load_kN,Compressive_Strength_MPa,Technician
CYL-1061,B-132,CEM II 32.5,7,151.4,298.1,12.77,503.0,27.94,Sarah
CYL-1062,B-133,CEM I 42.5,90,149.7,301.7,12.68,670.59,38.1,Ali
CYL-1063,B-144,CEM I 52.5,90,149.9,301.9,12.81,858.22,48.63,John
CYL-1064,B-147,CEM II 32.5,28,151.9,301.9,13.09,566.13,31.24,Ayse
CYL-1065,B-115,CEM II 32.5,7,149.0,298.5,12.56,415.17,23.81,Sarah
CYL-1066,B-142,CEM I 42.5,7,151.5,299.4,12.91,395.87,21.96,John
CYL-1067,B-123,CEM I 42.5,28,148.8,301.3,12.37,523.09,30.08,John
CYL-1068,B-148,CEM I 42.5,90,149.3,300.8,12.77,695.02,39.7,John
CYL-1069,B-102,CEM I 42.5,7,149.4,301.6,12.66,496.28,28.31,Fatma
CYL-1070,B-130,CEM I 42.5,7,149.2,298.1,12.72,460.86,26.36,Veli
CYL-1071,B-103,CEM I 42.5,28,148.0,299.4,12.28,528.49,30.72,Sarah
CYL-1072,B-109,CEM I 52.5,7,149.7,301.7,12.7,629.23,35.75,John
CYL-1073,B-122,CEM II 32.5,90,150.6,300.8,12.92,731.23,41.05,Ali
CYL-1074,B-131,CEM I 52.5,7,148.5,300.2,12.59,549.38,31.72,John
CYL-1075,B-131,CEM I 42.5,7,150.8,298.8,12.65,400.61,22.43,Fatma
CYL-1076,B-128,CEM II 32.5,28,152.0,298.7,12.89,619.5,34.14,Veli
CYL-1077,B-110,CEM I 52.5,28,149.0,298.8,12.56,767.73,44.03,Ayse
CYL-1078,B-117,CEM I 52.5,7,151.5,299.2,12.92,587.31,32.58,Fatma
CYL-1079,B-150,CEM I 52.5,90,152.0,298.3,12.87,949.21,52.31,Fatma
CYL-1080,B-136,CEM II 32.5,90,151.5,299.0,12.78,707.19,39.23,John
CYL-1081,B-113,CEM II 32.5,90,149.2,299.6,12.8,756.16,43.25,Ali
CYL-1082,B-127,CEM I 52.5,7,151.8,301.3,13.07,714.69,39.49,Sarah
CYL-1083,B-141,CEM I 42.5,7,150.7,299.6,12.77,482.31,27.04,John
CYL-1084,B-107,CEM I 42.5,28,150.5,301.5,12.85,561.97,31.59,John
CYL-1085,B-129,CEM II 32.5,28,149.4,300.5,12.53,602.34,34.36,Ayse
CYL-1086,B-128,CEM I 42.5,7,150.8,300.9,13.09,492.06,27.55,John
CYL-1087,B-128,CEM I 52.5,28,152.0,300.7,13.13,862.29,47.52,Ali
CYL-1088,B-119,CEM I 42.5,7,149.1,301.9,12.58,400.01,22.91,Ayse
CYL-1089,B-149,CEM II 32.5,90,148.4,298.7,12.44,695.84,40.23,Veli
CYL-1090,B-141,CEM I 52.5,7,148.8,299.7,12.33,544.13,31.29,Ayse
CYL-1091,B-148,CEM I 42.5,90,151.8,298.5,12.85,698.41,38.59,Sarah
CYL-1092,B-150,CEM I 52.5,28,152.0,300.7,13.28,816.56,45.0,Ayse
CYL-1093,B-108,CEM I 52.5,7,148.7,298.6,12.43,658.71,37.93,Fatma
CYL-1094,B-142,CEM I 52.5,90,149.7,301.2,12.52,885.32,50.3,John
CYL-1095,B-123,CEM II 32.5,28,149.9,301.0,12.52,612.91,34.73,John
CYL-1096,B-145,CEM I 42.5,28,151.2,299.6,12.76,700.62,39.02,Sarah
CYL-1097,B-103,CEM II 32.5,90,149.6,301.5,12.67,661.61,37.64,Sarah
CYL-1098,B-101,CEM I 52.5,7,150.5,300.7,13.01,578.34,32.51,John
CYL-1099,B-119,CEM II 32.5,90,151.4,298.1,12.87,812.83,45.15,Fatma
CYL-1100,B-136,CEM II 32.5,7,149.6,298.1,12.57,433.46,24.66,Fatma
CYL-1101,B-116,CEM II 32.5,90,148.4,299.4,12.23,723.17,41.81,Veli
CYL-1102,B-133,CEM I 42.5,7,149.1,301.3,12.88,335.93,19.24,Fatma
CYL-1103,B-109,CEM I 52.5,28,149.6,300.8,12.75,757.41,43.09,Veli
CYL-1104,B-100,CEM I 42.5,7,149.0,298.7,12.24,414.64,23.78,Sarah
CYL-1105,B-146,CEM II 32.5,90,150.6,298.1,12.73,702.9,39.46,Ayse
CYL-1106,B-144,CEM II 32.5,90,148.6,301.2,12.39,644.12,37.14,Veli
CYL-1107,B-127,CEM I 52.5,7,150.3,301.0,13.07,615.83,34.71,Fatma
CYL-1108,B-125,CEM I 52.5,7,150.9,300.6,12.69,598.22,33.45,John
CYL-1109,B-122,CEM I 42.5,28,151.4,298.9,13.03,607.06,33.72,Ayse
CYL-1110,B-129,CEM I 52.5,28,151.7,299.4,13.11,890.34,49.26,Ayse
CYL-1111,B-120,CEM I 52.5,7,151.1,300.4,12.83,458.87,25.59,Ali
CYL-1112,B-149,CEM I 42.5,28,149.1,301.3,12.5,667.5,38.23,Ali
CYL-1113,B-148,CEM I 42.5,7,149.6,298.8,12.66,409.38,23.29,Sarah
CYL-1114,B-128,CEM I 52.5,7,148.6,298.5,12.6,703.26,40.55,Veli
CYL-1115,B-109,CEM I 42.5,28,150.0,301.1,12.9,645.89,36.55,Ayse
CYL-1116,B-150,CEM I 42.5,90,151.7,298.6,12.84,625.73,34.62,John
CYL-1117,B-102,CEM I 42.5,90,149.6,299.9,12.47,713.82,40.61,Veli
CYL-1118,B-142,CEM I 52.5,90,150.8,301.7,13.18,793.54,44.43,Sarah
CYL-1119,B-145,CEM II 32.5,7,150.1,301.6,12.91,470.16,26.57,Ali
CYL-1120,B-115,CEM I 52.5,28,151.8,299.5,13.09,865.45,47.82,Sarah
CYL-1121,B-122,CEM I 42.5,90,151.9,299.3,13.11,643.33,35.5,Ali
CYL-1122,B-110,CEM I 42.5,90,148.4,300.1,12.52,658.82,38.09,John
CYL-1123,B-122,CEM I 52.5,90,149.9,300.3,12.59,791.68,44.86,Fatma
CYL-1124,B-121,CEM I 42.5,7,149.0,301.0,12.43,521.35,29.9,Veli
CYL-1125,B-144,CEM I 52.5,28,151.2,300.7,12.99,843.36,46.97,Ayse
CYL-1126,B-110,CEM I 52.5,90,150.4,299.6,12.84,965.75,54.36,Ali
CYL-1127,B-135,CEM I 42.5,28,149.6,300.2,12.7,657.04,37.38,Ayse
CYL-1128,B-113,CEM I 42.5,7,149.7,300.4,12.47,432.8,24.59,Sarah
CYL-1129,B-131,CEM I 52.5,7,149.6,301.2,12.54,619.78,35.26,Ali
CYL-1130,B-110,CEM II 32.5,28,148.3,300.0,12.56,626.5,36.27,John
CYL-1131,B-113,CEM II 32.5,7,148.4,299.0,12.37,450.75,26.06,Ali
CYL-1132,B-137,CEM I 42.5,7,151.0,301.3,12.79,536.16,29.94,Fatma
CYL-1133,B-126,CEM II 32.5,28,149.8,298.6,12.52,665.67,37.77,Sarah
CYL-1134,B-106,CEM II 32.5,7,148.6,299.9,12.63,344.43,19.86,John
CYL-1135,B-142,CEM I 52.5,90,149.1,298.8,12.33,881.73,50.5,Ayse
CYL-1136,B-149,CEM II 32.5,90,148.0,298.8,12.41,742.67,43.17,Fatma
CYL-1137,B-108,CEM I 42.5,90,151.4,298.5,12.87,641.62,35.64,Sarah
CYL-1138,B-126,CEM II 32.5,7,149.0,300.2,12.43,443.94,25.46,Sarah
CYL-1139,B-123,CEM II 32.5,90,152.0,300.3,13.14,751.06,41.39,Sarah
CYL-1140,B-123,CEM I 42.5,90,151.7,302.0,12.96,709.78,39.27,John
CYL-1141,B-133,CEM I 42.5,90,148.7,299.1,12.67,667.22,38.42,Ayse
CYL-1142,B-109,CEM I 52.5,90,151.7,300.3,12.85,854.91,47.3,Sarah
CYL-1143,B-144,CEM II 32.5,28,151.3,299.8,12.69,619.2,34.44,Sarah
CYL-1144,B-124,CEM I 42.5,90,149.1,299.8,12.44,708.35,40.57,Ayse
CYL-1145,B-121,CEM I 52.5,90,149.3,299.6,12.4,775.38,44.29,Fatma
CYL-1146,B-108,CEM I 42.5,28,150.7,300.4,12.72,499.25,27.99,Fatma
CYL-1147,B-149,CEM I 52.5,7,151.6,300.5,12.76,648.91,35.95,Ali
CYL-1148,B-102,CEM I 42.5,7,149.7,298.0,12.49,426.47,24.23,John
CYL-1149,B-132,CEM I 52.5,7,148.4,301.2,12.61,578.91,33.47,Veli
CYL-1150,B-122,CEM II 32.5,28,150.7,299.3,12.9,692.6,38.83,Ayse
CYL-1151,B-139,CEM II 32.5,90,149.4,299.5,12.53,609.71,34.78,Veli
CYL-1152,B-144,CEM II 32.5,90,149.1,298.6,12.7,719.18,41.19,Ali
CYL-1153,B-127,CEM II 32.5,7,148.8,301.3,12.56,396.66,22.81,Fatma
CYL-1154,B-142,CEM II 32.5,7,149.1,301.3,12.84,432.48,24.77,Fatma
CYL-1155,B-124,CEM II 32.5,28,150.7,300.9,12.95,619.65,34.74,John
CYL-1156,B-126,CEM I 42.5,7,150.4,301.1,13.07,361.18,20.33,Ayse
CYL-1157,B-150,CEM I 52.5,28,151.6,300.5,13.0,759.74,42.09,Veli
CYL-1158,B-124,CEM I 42.5,90,150.0,300.2,12.75,783.55,44.34,Veli
CYL-1159,B-131,CEM II 32.5,7,150.4,298.0,12.46,435.97,24.54,Fatma
CYL-1160,B-129,CEM I 52.5,28,149.0,300.8,12.57,767.56,44.02,John
CYL-1161,B-106,CEM II 32.5,90,150.6,299.5,12.66,632.54,35.51,Sarah
CYL-1162,B-136,CEM I 52.5,28,150.4,300.1,12.86,843.88,47.5,Fatma
CYL-1163,B-127,CEM II 32.5,90,149.9,299.6,12.75,727.62,41.23,Ayse
CYL-1164,B-126,CEM I 42.5,28,148.8,299.2,12.37,639.25,36.76,Fatma
CYL-1165,B-102,CEM I 52.5,7,148.8,301.6,12.71,684.29,39.35,Fatma
CYL-1166,B-127,CEM II 32.5,7,150.8,298.7,12.79,472.05,26.43,Fatma
CYL-1167,B-142,CEM I 42.5,28,151.9,301.4,13.37,640.97,35.37,Ali
CYL-1168,B-122,CEM I 42.5,90,151.7,298.7,13.01,707.61,39.15,Fatma
CYL-1169,B-120,CEM I 52.5,7,149.2,301.0,12.63,675.04,38.61,Fatma
CYL-1170,B-141,CEM I 52.5,28,150.6,300.0,12.65,816.55,45.84,John
CYL-1171,B-140,CEM II 32.5,7,150.4,298.7,12.63,469.55,26.43,Fatma
CYL-1172,B-148,CEM I 52.5,7,149.0,299.0,12.5,600.87,34.46,Fatma
CYL-1173,B-110,CEM I 52.5,28,150.9,301.9,13.16,856.29,47.88,Ali
CYL-1174,B-143,CEM II 32.5,28,151.4,299.7,12.95,546.03,30.33,Ayse
CYL-1175,B-108,CEM I 42.5,28,148.9,299.3,12.75,590.66,33.92,Ali
CYL-1176,B-139,CEM II 32.5,28,150.0,300.3,12.68,607.01,34.35,Veli
CYL-1177,B-137,CEM II 32.5,28,149.5,299.0,12.4,679.33,38.7,Fatma
CYL-1178,B-126,CEM I 52.5,7,148.9,301.5,12.69,605.81,34.79,John
CYL-1179,B-125,CEM I 52.5,90,149.5,301.9,12.95,874.36,49.81,John
CYL-1180,B-141,CEM I 42.5,90,149.8,301.9,12.61,687.88,39.03,Fatma
CYL-1181,B-112,CEM I 52.5,28,150.7,301.8,12.88,764.13,42.84,John
CYL-1182,B-100,CEM I 42.5,7,149.6,301.8,12.9,425.2,24.19,Ali
CYL-1183,B-132,CEM II 32.5,7,150.8,300.6,13.07,405.25,22.69,Ali
CYL-1184,B-140,CEM I 42.5,7,150.1,301.7,12.58,407.52,23.03,Ali
CYL-1185,B-115,CEM I 42.5,90,150.7,301.9,13.07,661.92,37.11,Ali
CYL-1186,B-119,CEM I 52.5,90,148.1,300.8,12.5,829.81,48.17,Ali
CYL-1187,B-106,CEM I 52.5,7,150.5,300.1,13.06,612.49,34.43,John
CYL-1188,B-120,CEM I 42.5,28,151.7,299.6,13.21,655.55,36.27,John
CYL-1189,B-110,CEM I 52.5,7,150.5,299.7,12.87,589.54,33.14,Sarah
CYL-1190,B-139,CEM I 52.5,28,148.2,300.9,12.69,758.65,43.98,Sarah
CYL-1191,B-107,CEM I 42.5,7,152.0,299.8,13.0,417.17,22.99,John
CYL-1192,B-145,CEM I 42.5,90,151.1,300.2,12.77,755.46,42.13,Fatma
CYL-1193,B-110,CEM I 42.5,7,150.4,299.7,12.9,502.24,28.27,Ayse
CYL-1194,B-134,CEM II 32.5,28,150.7,298.8,12.67,649.26,36.4,Fatma
CYL-1195,B-106,CEM II 32.5,7,149.1,301.2,12.51,444.88,25.48,Fatma
CYL-1196,B-126,CEM II 32.5,7,151.8,300.2,13.1,482.86,26.68,Ayse
CYL-1197,B-115,CEM I 42.5,28,148.2,298.2,12.1,511.63,29.66,Veli
CYL-1198,B-106,CEM I 42.5,90,151.6,301.7,13.06,592.24,32.81,Ayse
CYL-1199,B-140,CEM I 42.5,90,151.0,301.7,12.77,746.76,41.7,Fatma
CYL-1200,B-133,CEM II 32.5,7,150.9,299.7,13.13,443.17,24.78,Ali
CYL-1201,B-110,CEM I 52.5,7,148.0,299.2,12.46,624.14,36.28,John
CYL-1202,B-131,CEM I 42.5,7,149.3,299.6,12.78,436.45,24.93,Sarah
CYL-1203,B-130,CEM II 32.5,7,148.1,298.2,12.37,473.9,27.51,Sarah
CYL-1204,B-140,CEM I 42.5,28,150.0,300.8,12.7,681.23,38.55,Veli
CYL-1205,B-101,CEM II 32.5,7,148.5,298.3,12.41,390.73,22.56,Fatma
CYL-1206,B-108,CEM II 32.5,28,148.4,300.9,12.74,540.17,31.23,Veli
CYL-1207,B-100,CEM II 32.5,7,148.9,301.0,12.49,437.77,25.14,Sarah
CYL-1208,B-103,CEM II 32.5,28,148.0,300.3,12.21,495.28,28.79,Ayse
CYL-1209,B-108,CEM I 52.5,90,148.0,299.3,12.34,909.71,52.88,Sarah
CYL-1210,B-111,CEM II 32.5,7,148.8,298.2,12.54,427.44,24.58,Veli
CYL-1211,B-140,CEM I 52.5,7,150.5,298.7,12.75,687.03,38.62,Veli
CYL-1212,B-138,CEM I 42.5,90,148.9,300.5,12.49,792.13,45.49,Ayse
CYL-1213,B-147,CEM I 52.5,28,148.9,298.4,12.46,753.64,43.28,Ali
CYL-1214,B-129,CEM II 32.5,7,149.6,301.0,12.82,364.73,20.75,John
CYL-1215,B-149,CEM I 42.5,7,149.1,301.4,12.79,464.96,26.63,Fatma
CYL-1216,B-147,CEM I 42.5,90,149.3,301.9,12.66,655.46,37.44,Veli
CYL-1217,B-126,CEM I 52.5,28,151.1,298.7,12.89,728.56,40.63,Sarah
CYL-1218,B-112,CEM I 42.5,28,148.6,298.5,12.41,565.73,32.62,Ayse
CYL-1219,B-119,CEM I 42.5,28,149.2,301.8,12.66,603.53,34.52,John
CYL-1220,B-123,CEM I 52.5,90,149.5,300.4,12.62,982.31,55.96,John
CYL-1221,B-141,CEM I 52.5,90,150.8,298.1,12.63,839.62,47.01,Sarah
CYL-1222,B-103,CEM II 32.5,28,151.9,299.3,12.81,584.61,32.26,Veli
CYL-1223,B-114,CEM I 52.5,7,148.5,300.4,12.36,529.29,30.56,Ali
CYL-1224,B-121,CEM I 42.5,28,148.5,301.0,12.47,545.23,31.48,John
CYL-1225,B-113,CEM II 32.5,28,151.7,300.9,12.98,652.66,36.11,Ali
CYL-1226,B-138,CEM II 32.5,28,150.5,301.1,13.0,515.18,28.96,Ayse
CYL-1227,B-123,CEM II 32.5,28,151.9,299.7,13.28,658.19,36.32,Sarah
CYL-1228,B-123,CEM I 42.5,28,150.7,301.8,13.18,654.61,36.7,Fatma
CYL-1229,B-141,CEM I 42.5,7,148.3,298.9,12.28,415.42,24.05,John
CYL-1230,B-146,CEM II 32.5,90,150.6,301.7,12.77,598.34,33.59,John
CYL-1231,B-141,CEM II 32.5,28,149.1,300.8,12.4,627.16,35.92,Ayse
CYL-1232,B-141,CEM I 52.5,90,149.4,301.6,12.77,882.48,50.34,Ali
CYL-1233,B-109,CEM I 52.5,90,149.6,301.9,12.56,873.59,49.7,Ali
CYL-1234,B-130,CEM I 42.5,28,148.1,299.4,12.2,657.02,38.14,Sarah
CYL-1235,B-143,CEM I 52.5,28,151.0,298.3,12.89,746.4,41.68,Ali
CYL-1236,B-108,CEM I 42.5,28,151.5,298.4,12.89,602.45,33.42,John
CYL-1237,B-133,CEM I 52.5,90,150.7,300.8,13.1,873.82,48.99,Ayse
CYL-1238,B-108,CEM II 32.5,28,149.7,299.3,12.62,642.08,36.48,Ayse
CYL-1239,B-121,CEM I 52.5,7,148.8,301.9,12.58,573.86,33.0,Ali
CYL-1240,B-126,CEM I 52.5,90,151.5,300.0,12.87,927.83,51.47,Sarah
CYL-1241,B-112,CEM I 52.5,90,151.5,299.4,13.0,966.41,53.61,Ali
CYL-1242,B-104,CEM I 52.5,28,150.6,299.8,12.74,781.46,43.87,John
CYL-1243,B-142,CEM I 42.5,28,150.7,298.5,12.77,661.21,37.07,Sarah
CYL-1244,B-141,CEM II 32.5,90,151.0,300.8,13.15,749.62,41.86,Ayse
CYL-1245,B-104,CEM II 32.5,90,149.0,299.6,12.4,670.09,38.43,John
CYL-1246,B-129,CEM II 32.5,90,149.2,299.3,12.31,682.03,39.01,Veli
CYL-1247,B-122,CEM II 32.5,7,152.0,301.5,13.04,418.62,23.07,Fatma
CYL-1248,B-103,CEM II 32.5,90,148.0,301.4,12.67,716.18,41.63,Fatma
CYL-1249,B-147,CEM I 42.5,28,151.8,301.2,12.93,633.43,35.0,Veli
CYL-1250,B-113,CEM II 32.5,7,151.5,300.7,12.86,452.11,25.08,Sarah
CYL-1251,B-102,CEM I 52.5,90,150.5,300.4,12.94,920.43,51.74,Veli
CYL-1252,B-135,CEM I 52.5,90,149.3,301.9,12.8,866.59,49.5,Ali
CYL-1253,B-136,CEM I 52.5,90,149.0,300.6,12.48,963.02,55.23,John
CYL-1254,B-116,CEM I 52.5,90,148.9,301.6,12.84,774.37,44.47,Ali
CYL-1255,B-127,CEM II 32.5,7,152.0,299.6,12.83,462.36,25.48,Veli
CYL-1256,B-100,CEM I 52.5,28,151.8,298.5,12.73,885.9,48.95,John
CYL-1257,B-122,CEM I 52.5,7,148.6,299.5,12.63,676.03,38.98,Ali
CYL-1258,B-108,CEM I 42.5,28,149.5,301.4,12.7,627.72,35.76,Ali
CYL-1259,B-116,CEM II 32.5,28,148.5,298.7,12.16,562.03,32.45,Veli
CYL-1260,B-110,CEM I 52.5,90,151.4,298.1,12.78,786.36,43.68,Veli
CYL-1261,B-142,CEM I 52.5,90,149.8,298.2,12.67,715.72,40.61,Ayse
CYL-1262,B-119,CEM I 42.5,28,150.7,298.1,12.63,669.77,37.55,Ali
CYL-1263,B-107,CEM II 32.5,7,150.9,301.5,12.9,472.5,26.42,Veli
CYL-1264,B-113,CEM I 52.5,28,149.5,301.3,12.88,759.03,43.24,Veli
CYL-1265,B-127,CEM I 42.5,90,150.5,300.8,12.96,698.59,39.27,Ayse
CYL-1266,B-100,CEM I 42.5,90,148.2,300.7,12.69,715.18,41.46,Fatma
CYL-1267,B-105,CEM II 32.5,28,149.2,299.8,12.8,626.61,35.84,John
CYL-1268,B-103,CEM II 32.5,28,149.5,300.9,12.71,609.82,34.74,Veli
CYL-1269,B-102,CEM II 32.5,90,149.4,300.0,12.79,674.74,38.49,Sarah
CYL-1270,B-143,CEM I 42.5,7,148.2,300.8,12.56,450.05,26.09,Fatma
CYL-1271,B-107,CEM I 52.5,28,148.5,298.3,12.53,805.89,46.53,Ayse
CYL-1272,B-133,CEM I 52.5,28,148.3,299.4,12.3,730.14,42.27,Veli
CYL-1273,B-124,CEM II 32.5,28,148.2,299.3,12.44,626.69,36.33,Ayse
CYL-1274,B-100,CEM I 52.5,28,151.2,300.4,12.81,778.54,43.36,Fatma
CYL-1275,B-123,CEM II 32.5,7,149.2,301.4,12.88,489.01,27.97,Ayse
CYL-1276,B-137,CEM I 52.5,7,148.3,300.4,12.29,633.58,36.68,Sarah
CYL-1277,B-126,CEM I 42.5,7,148.6,300.6,12.45,353.11,20.36,Sarah
CYL-1278,B-106,CEM II 32.5,7,150.9,301.7,13.05,420.99,23.54,Ali
CYL-1279,B-106,CEM I 52.5,28,152.0,300.2,13.28,788.62,43.46,Fatma
CYL-1280,B-145,CEM I 52.5,90,149.8,300.5,12.48,908.18,51.53,Veli
CYL-1281,B-124,CEM I 42.5,7,149.3,300.7,12.89,435.75,24.89,Fatma
CYL-1282,B-123,CEM I 52.5,90,149.8,301.1,12.53,853.55,48.43,Ayse
CYL-1283,B-124,CEM I 42.5,28,149.0,299.2,12.68,668.69,38.35,Veli
CYL-1284,B-134,CEM I 42.5,28,148.1,302.0,12.55,602.41,34.97,Ayse
CYL-1285,B-102,CEM II 32.5,7,150.2,301.2,12.73,510.12,28.79,Fatma
CYL-1286,B-108,CEM I 52.5,90,150.6,298.2,12.93,958.34,53.8,Ali
CYL-1287,B-127,CEM I 52.5,90,150.7,301.6,13.13,939.46,52.67,John
CYL-1288,B-118,CEM I 52.5,90,151.6,298.0,12.94,925.99,51.3,Veli
CYL-1289,B-113,CEM I 42.5,90,148.3,301.0,12.6,706.47,40.9,Ali
CYL-1290,B-115,CEM II 32.5,90,148.2,299.6,12.54,793.67,46.01,John
CYL-1291,B-135,CEM I 42.5,28,151.6,299.6,13.22,592.05,32.8,Veli
CYL-1292,B-149,CEM II 32.5,7,151.8,300.7,13.03,375.17,20.73,Sarah
CYL-1293,B-137,CEM I 42.5,90,148.4,300.3,12.22,676.12,39.09,John
CYL-1294,B-114,CEM I 42.5,90,148.2,300.7,12.42,696.38,40.37,Sarah
CYL-1295,B-127,CEM I 42.5,28,148.4,301.9,12.65,596.04,34.46,Ali
CYL-1296,B-129,CEM I 52.5,7,151.9,301.3,13.33,617.23,34.06,John
CYL-1297,B-104,CEM I 52.5,90,149.4,299.2,12.45,990.99,56.53,Fatma
CYL-1298,B-129,CEM II 32.5,90,150.3,298.2,12.71,661.25,37.27,Sarah
CYL-1299,B-123,CEM I 42.5,7,148.6,300.0,12.26,483.7,27.89,Ayse
CYL-1300,B-140,CEM II 32.5,7,151.3,299.9,12.94,439.23,24.43,John
